Feature,RF_Importance,Permutation_Loss_Increase,RF_Rank,Permutation_Rank,RF_R2,ResMLP_R2
NBI2_diff1,6.76978938700802e-06,0.0004716813564300537,77.0,50.0,0.6348589579758079,0.5556019242855175
POHM,0.00841389188063773,0.0004496276378631592,21.0,51.0,0.6348589579758079,0.5556019242855175
P_baratron_mid_avg,0.003266280344740741,0.00036735832691192627,49.0,52.0,0.6348589579758079,0.5556019242855175
P_baratron_div_diff1,0.002965549366476338,0.00034248828887939453,53.0,53.0,0.6348589579758079,0.5556019242855175
IPLA_diff2,0.0038388777584637203,0.0003357231616973877,46.0,54.0,0.6348589579758079,0.5556019242855175
SXRcore_avg,0.004075884668207024,0.0002934187650680542,43.0,55.0,0.6348589579758079,0.5556019242855175
KAPPA_avg,0.005788038244219294,0.00023791193962097168,28.0,56.0,0.6348589579758079,0.5556019242855175
EvenN_diff1,0.002718322160023932,0.0002056807279586792,57.0,57.0,0.6348589579758079,0.5556019242855175
Wth_diff1,0.00333355342674644,0.00020557641983032227,48.0,58.0,0.6348589579758079,0.5556019242855175
NBI_diff2,0.002828655077032607,0.0002031773328781128,54.0,59.0,0.6348589579758079,0.5556019242855175
NEavg_avg,0.003986081400610747,0.00018136203289031982,45.0,60.0,0.6348589579758079,0.5556019242855175
BETAP_diff2,0.0022061562306170926,0.00015188753604888916,64.0,61.0,0.6348589579758079,0.5556019242855175
PD_diff2,0.002049050921915852,0.00011202692985534668,69.0,62.0,0.6348589579758079,0.5556019242855175
NEavg,0.004324209657766357,7.402896881103516e-05,39.0,63.0,0.6348589579758079,0.5556019242855175
P_baratron_mid_diff2,0.002618298765848229,3.8683414459228516e-05,58.0,64.0,0.6348589579758079,0.5556019242855175
BETAN_diff1,0.0025576898583880843,1.2621283531188965e-05,60.0,65.0,0.6348589579758079,0.5556019242855175
SXRcore_diff2,0.002602094914403916,-1.017749309539795e-05,59.0,66.0,0.6348589579758079,0.5556019242855175
DELTA_TOP,0.004225508266802496,-2.6419758796691895e-05,42.0,67.0,0.6348589579758079,0.5556019242855175
BZERO_avg,0.014412736704970237,-4.8980116844177246e-05,9.0,68.0,0.6348589579758079,0.5556019242855175
BZERO_diff2,0.0019146078764158937,-5.2794814109802246e-05,70.0,69.0,0.6348589579758079,0.5556019242855175
BZERO,0.0873428394552372,-0.00016404688358306885,2.0,70.0,0.6348589579758079,0.5556019242855175
Ne_core_avg,0.004664585860740035,-0.0005336105823516846,37.0,71.0,0.6348589579758079,0.5556019242855175
Ne_core_avg_avg,0.004262782497788458,-0.0005646795034408569,40.0,72.0,0.6348589579758079,0.5556019242855175
LI_avg,0.020799059772155373,-0.0007143020629882812,5.0,73.0,0.6348589579758079,0.5556019242855175
OddN_diff2,0.002396823366873415,-0.0007144957780838013,62.0,74.0,0.6348589579758079,0.5556019242855175
DELTA_BOTTOM,0.006503973649473616,-0.000873267650604248,25.0,75.0,0.6348589579758079,0.5556019242855175
LI,0.01267239034529975,-0.0009686797857284546,11.0,76.0,0.6348589579758079,0.5556019242855175
DELTA_TOP_avg,0.004917669178934226,-0.001424446702003479,36.0,77.0,0.6348589579758079,0.5556019242855175
