shot,flat_top_start,flat_top_end
55192,0.251100272,0.5843
55193,0.251100272,0.519199967
55195,0.251100272,0.692599952
55197,0.251100272,0.622
55198,0.251100272,0.5089
55199,0.251100272,0.6551
55201,0.251100272,0.5523
55202,0.251100272,0.5305
55208,0.3301,0.3397
55210,0.3301,1.95839989
55212,0.3301,0.3496
55217,0.1881,0.337800115
55218,0.1881,0.517600119
55228,0.33,2
55255,0.1881,0.49300012
55256,0.1881,1.646
55267,0.1881,0.960000098
55272,0.1881,0.519200087
55273,0.1881,0.51970011
55274,0.1881,0.529200137
55283,0.133100271,1.16119993
55285,0.133100271,1.33079994
55287,0.133100271,1.336
55289,0.133100271,1.4646
55292,0.133100271,1.4445
55294,0.133100271,1.02039993
55296,0.133100271,1.16909993
55298,0.2501,1.32320011
55300,0.250100255,0.4133
55301,0.2501,1.42080009
55303,0.2501,1.07270014
55304,0.133100271,0.8301
55305,0.2501,1.04740012
55306,0.2501,1.2611
55307,0.250100255,0.4141
55308,0.2501,1.37470007
55310,0.3301,1.4
55312,0.2501,1.1831001
55314,0.133100271,0.7994
55320,0.1881,1.468
55322,0.133100271,1.4009999
55323,0.133100271,1.4022
55330,0.133100271,1.2104
55343,0.133100271,0.6062
55345,0.133100271,0.6482
55346,0.133100271,1.2837
55348,0.133100271,0.569499969
55350,0.133100271,0.8099
55352,0.133100271,2.07600021
55361,0.1881,1.468
55367,0.133100271,1.8131
55371,0.133100271,1.81179988
55375,0.133100271,1.6285
55376,0.133100271,0.94629997
55379,0.3601,1.24670017
55381,0.3601,1.08760011
55385,0.3601,0.826600134
55392,0.3601,0.503200114
55397,0.188100263,1.46800029
55398,0.133100271,1.3187
55399,0.133100271,1.3143
55402,0.133100271,1.40379989
55406,0.133100271,1.4035
55409,0.133100271,1.12449992
55411,0.133100271,1.2802999
55417,0.133100271,1.4167999
55423,0.2501,1.26340008
55426,0.3301,1.12010014
55428,0,0
55429,0.3301,0.514400125
55431,0.33,0.47390011
55433,0.3871,0.444700122
55435,0.3871,0.704200089
55441,0.1881,1.468
55447,0.22810027,2.30589986
55456,0.133100271,0.662799954
55459,0.133100271,1.81919992
55466,0.188100263,0.2019
55467,0.188100263,0.191500008
55468,0.188100263,0.2633
55470,0.188100263,0.3223
55516,0.1881,1.468
55519,0.188100263,1.46800029
55543,0.1331,1.7
55544,0.1331,1.7
55545,0.1331,0.8786
55546,0.1331,1.4195
55547,0.1331,0.950499952
55548,0.1331,0.86649996
55550,0.1331,0.8416
55551,0.368,1.05040014
55552,0.1331,0.849999964
55555,0.1881,1.468
55565,0.133100271,0.918899953
55567,0.1331,0.971800089
55569,0.1331,1.976
55572,0.1881,0.305000126
55573,0.1331,0.271800131
55574,0.1331,0.68170011
55575,0.1331,0.726700127
55576,0.1331,1.4977001
55578,0.1271,0.320800126
55581,0.1881,1.00040007
55587,0.1331,0.795000136
55588,0.1331,1.37620008
55589,0.1331,0.855500102
55592,0.1881,1.468
55596,0.1881,1.95
55597,0.1331,1.50789988
55599,0.1331,1.5508
55600,0.1331,1.0001
55602,0.1331,1.5824
55605,0.1331,1.2317
55607,0.1331,1.7
55608,0.1331,1.08209991
55610,0.1331,0.92689997
55613,0.1331,1.32020009
55614,0.1331,1.976
55618,0.1331,0.866600096
55620,0.1331,0.952600121
55622,0.1331,1.09640014
55623,0.1331,1.3907001
55624,0.1331,0.922600091
55625,0.1331,1.46530008
55626,0.1331,1.09030008
55628,0.1331,1.14490008
55629,0.1331,0.699500144
55630,0.1331,1.02460015
55634,0.1881,1.468
55653,0.133100271,1.82119989
55670,0.1881,1.468
55674,0.1331,1
